Permalink,Post type,Likes,Shares,Comments,Saves,Impressions,Reach,Follows,Plays,Quarter,Year,Month,Day,Day of Week,Hour
https://www.instagram.com/reel/C6_XI9FuW1v/,IG reel,28,10,2,0,1062.0,875.0,1.0,1432.0,1,2024,5,15,Wed,6
https://www.instagram.com/p/C6_vcKkux_1/,IG image,28,4,2,0,,,,,1,2024,5,15,Wed,9
https://www.instagram.com/p/C7UA2aQueTI/,IG image,15,3,3,0,579.0,392.0,,,1,2024,5,23,Thu,6
https://www.instagram.com/reel/C7ZhwpQOwVV/,IG reel,43,4,5,0,1810.0,1632.0,,2341.0,1,2024,5,25,Sat,9
https://www.instagram.com/p/C7eQrMYONa1/,IG carousel,91,2,4,2,630.0,520.0,,,1,2024,5,27,Mon,6
https://www.instagram.com/p/C7mF24XuK7r/,IG image,38,8,11,2,1536.0,878.0,3.0,,1,2024,5,30,Thu,7
https://www.instagram.com/p/C74MCmYOdEY/,IG carousel,81,2,3,0,1251.0,883.0,,,1,2024,6,6,Thu,7
https://www.instagram.com/reel/C5PFb5lOfYR/,IG reel,54,8,1,1,1982.0,1639.0,5.0,2341.0,1,2024,4,1,Mon,15
https://www.instagram.com/reel/C-u9UfFOo38/,IG reel,42,16,5,0,,,,2076.0,2,2024,8,16,Fri,7
https://www.instagram.com/p/DAjd59vy9Pu/,IG image,34,3,11,2,1921.0,1416.0,,,2,2024,9,30,Mon,13
